id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-10-02T19:18:34;payment unleash Jamaican Dollar;1
2;Rest;2020-10-03T14:35:04;Plains;2
3;Quality Plastic plum;2020-10-02T18:55:26;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-10-03T15:22:38;Architect SSL;4
5;zero tolerance;2020-10-03T12:18:57;user-facing CSS;5
6;ADP Ouguiya;2020-10-03T08:15:25;Garden;6
7;auxiliary;2020-10-03T16:31:25;functionalities Bedfordshire withdrawal;7
8;Data;2020-10-02T19:29:26;Viaduct hybrid;8
9;mesh;2020-10-03T17:55:05;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-10-03T15:53:59;Re-engineered withdrawal Ball;10
